Sentence,Validity,
A model-based agent can handle  by use of model about the world.,0,
The agent has to keep track of  which is adjusted by each percept and that depends on the percept history.,0,
The current state is stored inside the agent which maintains some kind of structure describing the part of the world which cannot be seen.,1,
"Updating the state requires information about :how the world evolves in-dependently from the agent, andhow the agent actions affects the world.Goal-based agentsThese kind of agents take decision based on how far they are currently from their (description of desirable situations).",0,
Their every action is intended to reduce its distance from the goal.,0,
"This allows the agent a way to choose among multiple possibilities, selecting the one which reaches a goal state.",0,
"The knowledge that supports its decisions is represented explicitly and can be modified, which makes these agents more flexible.",1,
They usually require search and planning.,0,
The goal-based agent’s behavior can easily be changed.Utility-based agentsThe agents which are developed having their end uses as building blocks are called utility based agents.,1,
"When there are multiple possible alternatives, then to decide which one is best, utility-based agents are used.They choose actions based on a  for each state.",1,
Sometimes achieving the desired goal is not enough.,0,
"We may look for a quicker, safer, cheaper trip to reach a destination.",0,
Agent happiness should be taken into consideration.,0,
Utility describes how  the agent is.,0,
"Because of the uncertainty in the world, a utility agent chooses the action that maximizes the expected utility.",0,
"A utility function maps a state onto a real number which describes the associated dexampleree of happiness.A learning agent in AI is the type of agent which can learn from its past experiences or it has learning capabilities.It starts to act with basic knowledge and then able to act and adapt automatically through learning.A learning agent has mainly four conceptual components, which are:It is responsible for making improvements by learning from the environmentLearning element takes feedback from critic which describes how well the agent is doing with respect to a fixed performance standard.",1,
"It is responsile for selecting external action This component is responsible for suggesting actions that will lead to new and informative experiences.jQuery('#showMoreImprove').click(function(){ jQuery(this).hide(); jQuery('#improvedByMore').css('display', 'inline'); });Article Tags :    .entry-meta",0.5,
Artificial Intelligence and Machine Learning are the terms of computer science.,0,
This article discusses some points on the basis of which we can differentiate between these two  terms.,0,
: The word Artificial Intelligence comprises of two words “Artificial” and “Intelligence”.,0,
Artificial refers to something which is made by human or non natural thing and Intelligence means ability to understand or think.,1,
"There is a misconception that Artificial Intelligence is a system, but it is not a system .AI is implemented in the system.",0,
"There can be so many definition of AI, one definition can be Therefore It is a intelligence where we want to add all the capabilities to machine that human contain.",0,
: Machine Learning is the learning in which machine can learn by its own without being explicitly programmed.,1,
It is an application of AI that provide system the ability  to automatically learn and improve from experience.,0.5,
Here we can generate a program by intexamplerating input and output of that program.,0,
"One of the simple definition of the Machine Learning is  ARTIFICIAL INTELLIGENCEMACHINE LEARNINGAI stands for Artificial intelligence, where intelligence is defined acquisition of knowledge intelligence is defined as a ability to acquire and apply knowledge.ML stands for Machine Learning which is defined as the acquisition of knowledge or skillThe aim is to increase chance of success and not accuracy.The aim is to increase accuracy, but it does not care about successIt work as a computer program that does smart workIt is a simple concept machine takes data and learn from data.The goal is to simulate natural intelligence to solve complex problemThe goal is to learn from data on certain task to maximize the performance of machine on this task.AI is decision making.ML allows system to learn new things from data.It leads to develop a system to mimic human to respond behave in a circumstances.It involves in creating self learning algorithms.AI will go for finding the optimal solution.ML will go for only solution for that whether it is optimal or not.AI leads to intelligence or wisdom.ML leads to knowledge.www.techrepublic.com/article/understanding-the-differences-between-ai-machine-learning-and-deep-learning Attention reader!",0,
Don’t stop learning now.,0,
Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.Article Tags :    .entry-meta,0,
 is a technique to standardize the independent features present in the data in a fixed range.,0,
"It is performed during the data pre-processing.Given a data-set with features- Age, Salary, BHK Apartment with the data size of 5000 people, each having these independent data features.Each data point is labeled as: (means with the given Age, Salary, BHK Apartment feature value one can buy the property) (means with the given Age, Salary, BHK Apartment feature value one can’t buy the property).Using dataset to train the model, one aims to build a model that can predict whether one can buy a property or not  with given feature values.Once the model is trained, an N-dimensional (where N is the no.",0.25,
"of features present in the dataset) graph with data points from the given dataset, can be created.",0,
"The figure given below is an ideal representation of the model.As shown in the figure, star data points belong to  and circles represent  labels and the model gets trained using these data points.",0,
"Now a new data point (diamond as shown in the figure) is given and it has different independent values for the 3 features (Age, Salary, BHK Apartment) mentioned above.",0,
The model has to predict whether this data point belongs to Yes or No.Prediction of the class of new data point:The model calculates the distance of this data point from the centroid of each class group.,0,
"Finally this data point will belong to that class, which will have a minimum centroid distance from it.The distance can be calculated between centroid and data point using these methods-  It is the square-root of the sum of squares of differences between the coordinates (feature values – Age, Salary, BHK Apartment) of data point and centroid of each class.",0,
"This formula is given by Pythagorean theorem.where x is Data Point value, y is Centroid value and k is no.",0,
"of feature values, Example: given data set has k = 3 It is calculated as the sum of absolute differences between the coordinates (feature values) of data point and centroid of each class.",0,
It is a generalization of above two methods.,0,
"As shown in the figure, different values can be used for finding r. The given data set contains 3 features – Age, Salary, BHK Apartment.",0,
"Consider a range of 10- 60 for Age, 1 Lac- 40 Lacs for Salary, 1- 5 for BHK of Flat.",0,
"All these features are independent of each of other.Suppose the centroid of class 1 is [40, 22 Lacs, 3] and data point to be predicted is [57, 33 Lacs, 2].Using Manhattan Method,It can be seen that Salary feature will dominate all other features while predicting the class of the given data point and since all the features are independent of each other i.e.",0,
a person’s salary has no relation with his/her age or what requirement of flat he/she has.,0,
"This means that the model will always predict wrong.So, the simple solution to this problem is Feature Scaling.",0,
"Feature Scaling Algorithms will scale Age, Salary, BHK in fixed range say [-1, 1] or [0, 1].",0,
And then no feature can dominate other.Attention reader!,0,
Don’t stop learning now.,0,
Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.Article Tags :    .entry-meta,0,
Machine Learning  is the field of study that gives computers the capability to learn without being explicitly programmed.,0,
ML is one of the most exciting technologies that one would have ever come across.,0,
"As it is evident from the name, it gives the computer that makes it more similar to humans: .",0,
"Machine learning is actively being used today, perhaps in many more places than one would expect.",0,
Recent Articles on Machine Learning !,0,
"A machine is said to be learning from (data feed in) with respect to some class of , if it’s  in a given Task improves with the Experience.For example, assume that a machine has to predict whether a customer will buy a specific product lets say “Antivirus” this year or not.",1,
"The machine will do it by looking at the i.e the data of products that the customer had bought every year and if he buys Antivirus every year, then there is a high probability that the customer is going to buy an antivirus this year as well.",0,
This is how machine learning works at the basic conceptual level.Supervised learning is when the model is getting trained on a labelled dataset.,0,
dataset is one which have both input and output parameters.,0,
"In this type of learning both training and validation datasets are labelled as shown in the figures below.Both the above figures have labelled data set –  It is a dataset of a shopping store which is useful in predicting whether a customer will purchase a particular product under consideration or not based on his/ her gender, age and salary.",0,
"Gender, Age, Salary Purchased i.e.",0,
0 or 1,0,0
"Dew Point, Temperature, Pressure, Relative Humidity, Wind Direction Wind Speed TWhile training the model, data is usually split in the ratio of 80:20 i.e.",0,
80% as training data and rest as testing data.,0,
"In training data, we feed input as well as output for 80% data.",0,
The model learns from training data only.,0,
We use different machine learning algorithms(which we will discuss in detail in the next articles) to build our model.,0,
"By learning, it means that the model will build some logic of its own.Once the model is ready then it is good to be tested.",0,
"At the time of testing, the input is fed from the remaining 20% data which the model has never seen before, the model will predict some value and we will compare it with actual output and calculate the accuracy.",0,
It is a Supervised Learning task where output is having defined labels(discrete value).,0,
"For example in above Figure A, Output – Purchased has defined labels i.e.",0,
0 or 1,0,
The goal here is to predict discrete values belonging to a particular class and evaluate on the basis of accuracy.It can be either binary or multi class classification.,0,
"In  classification, model predicts either 0 or 1 ; yes or no but in case of  classification, model predicts more than one class.",0,
"Gmail classifies mails in more than one classes like social, promotions, updates, forum.",0,
"It is a Supervised Learning task where output is having continuous value.Example in above Figure B, Output – Wind Speed is not having any discrete value but is continuous in the particular range.",0,
The goal here is to predict a value as much closer to actual output value as our model can and then evaluation is done by calculating error value.,0,
The smaller the error the greater the accuracy of our rexampleression model.,1,
Linear RexampleressionNearest NeighborGuassian Naive BayesDecision TreesSupport Vector Machine (SVM)Random Forest Attention reader!,0,
Don’t stop learning now.,0,
"Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.jQuery('#showMoreImprove').click(function(){ jQuery(this).hide(); jQuery('#improvedByMore').css('display', 'inline'); });Article Tags :    .entry-meta",0,
"Gradient Descent is an iterative optimiZation algorithm, used to find the minimum value for a function.",1,
"The general idea is to initialize the parameters to random values, and then take small steps in the direction of the “slope” at each iteration.",0,
Gradient descent is highly used in supervised learning to minimize the error function and find the optimal values for the parameters.Various extensions have been designed for gradient descent algorithm.,1,
Some of them are discussed below:Momentum method: This method is used to accelerate the gradient descent algorithm by taking into consideration the exponentially weighted average of the gradients.,1,
"Using averages makes the algorithm converge towards the minima in a faster way, as the gradients towards the uncommon directions are canceled out.",0,
The pseudocode for momentum method is given below.V and dW are analogous to acceleration and velocity respectively.,0,
"α is the learning rate, and β is normally kept at 0.9.RMSprop: RMSprop was proposed by University of Toronto’s Geoffrey Hinton.",0,
The intuition is to apply an exponentially weighted average method to the second moment of the gradients (dW2).,0,
"The pseudocode for this is as follows:Adam Optimization: Adam optimization algorithm incorporates the momentum method and RMSprop, along with bias correction.",0,
"The pseudocode for this approach is as follows,Kingma and Ba, the proposers of Adam, recommended the following values for the hyperparameters.Attention reader!",0,
Don’t stop learning now.,0,
"Get hold of all the important DSA concepts with the DSA Self Paced Course at a student-friendly price and become industry ready.jQuery('#showMoreImprove').click(function(){ jQuery(this).hide(); jQuery('#improvedByMore').css('display', 'inline'); });Article Tags :    .entry-meta",0,
"In Machine Learning and Data Science we often come across a term called , generally happens when observations in one of the class are much higher or lower than the other classes.",0,
"As Machine Learning algorithms tend to increase accuracy by reducing the error, they do not consider the class distribution.",1,
"This problem is prevalent in examples such as , ,  etc.Standard ML techniques such as Decision Tree and Logistic Rexampleression have a bias towards the  class, and they tend to ignore the minority class.",0,
"They tend only to predict the majority class, hence, having major misclassification of the minority class in comparison with the majority class.",0,
"In more technical words, if we have imbalanced data distribution in our dataset then our model becomes more prone to the case when minority class has nexampleligible or very lesser .There are mainly 2 mainly algorithms that are widely used for handling imbalanced class distribution.SMOTENear Miss AlgorithmSMOTE (synthetic minority oversampling technique) is one of the most commonly used oversampling methods to solve the imbalance problem.It aims to balance class distribution by randomly increasing minority class examples by replicating them.SMOTE synthesises new minority instances between existing minority instances.",0,
It generates the  for the minority class.,0.5,
These synthetic training records are generated by randomly selecting one or more of the k-nearest neighbors for each example in the minority class.,0,
"After the oversampling process, the data is reconstructed and several classification models can be applied for the processed data.",0,
"Setting the minority class set , for each , the  are obtained by calculating the  between  and every other sample in set .",0,
The sampling rate  is set according to the imbalanced proportion.,1,
"For each ,  examples (i.e x1, x2, …xn)  are randomly selected from its k-nearest neighbors, and they construct the set  .",0,
"For each example  (k=1, 2, 3…N), the following formula is used to generate a new example:in which rand(0, 1) represents the random number between 0 and 1.NearMiss is an under-sampling technique.",0,
It aims to balance class distribution by randomly eliminating majority class examples.,0.5,
"When instances of two different classes are very close to each other, we remove the instances of the majority class to increase the spaces between the two classes.",0,
"This helps in the classification process.To prevent problem of  in most under-sampling techniques,  methods are widely used.",0,
The method first finds the distances between all instances of the majority class and the instances of the minority class.,0,
"Here, majority class is to be under-sampled.",0,
"Then,  instances of the majority class that have the smallest distances to those in the minority class are selected.",0,
"If there are k instances in the minority class, the nearest method will result in  instances of the majority class.",0,
It selects samples of the majority class for which average distances to the k  instances of the minority class is smallest.,0.5,
It selects samples of the majority class for which average distances to the k  instances of the minority class is smallest.,0.5,
It works in 2 steps.,0,
"Firstly, for each minority class instance, their  will be stored.",0,
"Then finally, the majority class instances are selected for which the average distance to the N nearest-neighbors is the largest.Load libraries and data fileThe dataset consists of transactions made by credit cards.",0,
This dataset has .,0,
"That makes it highly unbalanced, the positive class (frauds) account for 0.172% of all transactions.The dataset can be downloaded from .Split the data into test and train setsNow train the model without handling the imbalanced class distributionThe recall of the minority class in very less.",0,
It proves that the model is more biased towards majority class.,0,
"So, it proves that this is not the best model.Now, we will apply different  and see their accuracy and recall results.Using SMOTE AlgorithmYou can check all the parameters from here.",0,
that SMOTE Algorithm has oversampled the minority instances and made it equal to majority class.,0,
Both catexampleories have equal amount of records.,0,
"More specifically, the minority class has been increased to the total number of majority class.Now see the accuracy and recall results after applying SMOTE algorithm (Oversampling).Prediction and Recall, We have reduced the accuracy to 98% as compared to previous model but the recall value of minority class has also improved to 92 %.",0,
This is a good model compared to the previous one.,0,
"Recall is great.Now, we will apply NearMiss technique to Under-sample the majority class and see its accuracy and recall results.NearMiss Algorithm:You can check all the parameters from here.The  has undersampled the majority instances and made it equal to majority class.",0,
"Here, the majority class has been reduced to the total number of minority class, so that both classes will have equal number of records.Prediction and RecallThis model is better than the first model because it classifies better and also the recall value of minority class is 95 %.",0,
"But due to undersampling of majority class, its recall has decreased to 56 %.",0,
"So in this case, SMOTE is giving me a great accuracy and recall, I’ll go ahead and use that model!",0,
Article Tags :    .entry-meta,0,
" It can be any unprocessed fact, value, text, sound or picture that is not being interpreted and analyzed.",0.5,
"Data is the most important part of all Data Analytics, Machine Learning, Artificial Intelligence.",0,
"Without data, we can’t train any model and all modern research and automation will go vain.",0,
Big Enterprises are spending lots of money just to gather as much certain data as possible.,0,
Why did Facebook acquire WhatsApp by paying a huge price of $19 billion?The answer is very simple and logical – it is to have access to the users’ information that Facebook may not have but WhatsApp will have.,0,
This information of their users is of paramount importance to Facebook as it will facilitate the task of improvement in their services.,0,
Data that has been interpreted and manipulated and has now some meaningful inference for the users.,0,
"Combination of inferred information, experiences, learning and insights.",0,
Results in awareness or concept building for an individual or organization.The part of data we use to train our model.,0,
"This is the data which your model actually sees(both input and output) and learn from.The part of data which is used to do a frequent evaluation of model, fit on training dataset along with improving involved hyperparameters (initially set parameters before the model bexampleins learning).",0,
"This data plays it’s part when the model is actually training.Once our model is completely trained, testing data provides the unbiased evaluation.",0,
"When we feed in the inputs of Testing data, our model will predict some values(without seeing actual output).",0,
"After prediction, we evaluate our model by comparing it with actual output present in the testing data.",0,
"This is how we evaluate and see how much our model has learned from the experiences feed in as training data, set at the time of training.Consider an example:There’s a Shopping Mart Owner who conducted a survey for which he has a long list of questions and answers that he had asked from the customers, this list of questions and answers is .",0,
Now every time when he want to infer anything and can’t just go through each and every question of thousands of customers to find something relevant as it would be time-consuming and not helpful.,0,
"In order to reduce this overhead and time wastage and to make work easier, data is manipulated through software, calculations, graphs etc.",0,
"as per own convenience, this inference from manipulated data is .",0,
"So, Data is must for Information.",0,
Now  has its role in differentiating between two individuals having same information.,0,
Knowledge is actually not a technical content but is linked to human thought process.Scale of Data.,0,
"With growing world population and technology at exposure, huge data is being generated each and every millisecond.",0,
"Different forms of data – healthcare, images, videos, audio clippings.",0,
Rate of data streaming and generation.,0,
Meaningfulness of data in terms of information which researchers can infer from it.,0,
Certainty and correctness in data we are working on.,0,
"As compared to 2005, 300 times i.e.",0,
40 Zettabytes (1ZB=10^21 bytes) of data will be generated by 2020.,0,
"By 2011, healthcare sector has a data of 161 Billion Gigabytes400 Million tweets are sent by about 200 million active users per dayEach month, more than 4 Billion hours of video streaming is done by the users.",0,
30 Billion different types of contents are shared every month by the user.,0,
It is reported that about 27% of data is inaccurate and so 1 in 3 business idealists or leaders don’t trust the information on which they are making decisions.,0,
The above-mentioned facts are just a glimpse of the actually existing huge data statistics.,0,
"When we talk in terms of real world scenario, the size of data currently present and is getting generated each and every moment is beyond our mental horizons to imagine.Attention reader!",0,
Don’t stop learning now.,0,
"Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.jQuery('#showMoreImprove').click(function(){ jQuery(this).hide(); jQuery('#improvedByMore').css('display', 'inline'); });Article Tags :    .entry-meta",0,
 is an analytical approach to Linear Rexampleression with a Least Square Cost Function.,0,
We can directly find out the value of θ without using Gradient Descent.,0,
Following this approach is an effective and a time-saving option when are working with a dataset with small features.,0,
"In the above equation, hypothesis parameters that define it the best.",0,
Input feature value of each instance.,0,
"Output value of each instance.Maths Behind the equation –Given the hypothesis function where, the no.",0,
of features in the data set.,0,
1 (for vector multiplication)Notice that this is dot product between θ and x values.,0,
"So for the convenience to solve we can write it as :The motive in Linear Rexampleression is to minimize the  : where, the input value of iih training example.",0,
no.,0,
of training instances no.,0,
of data-set features the expected result of ith instanceLet us representing cost function in a vector form.we have ignored 1/2m here as it will not make any difference in the working.,0,
It was used for the mathematical convenience while calculation gradient descent.,0,
But it is no more needed here.,0,
value of jih feature in iih training example.,0,
This can further be reduced to But each residual value is squared.,0,
We cannot simply square the above expression.,0,
As the square of a vector/matrix is not equal to the square of each of its values.,0,
"So to get the squared value, multiply the vector/matrix with its transpose.",0,
"So, the final equation derived isTherefore, the cost function isSo, now getting the value of θ using derivativeSo, this is the finally derived Attention reader!",0,
Don’t stop learning now.,0,
Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.Article Tags :    .entry-meta,0,
" It can be any unprocessed fact, value, text, sound or picture that is not being interpreted and analyzed.",0.5,
"Data is the most important part of all Data Analytics, Machine Learning, Artificial Intelligence.",0,
"Without data, we can’t train any model and all modern research and automation will go vain.",0,
Big Enterprises are spending lots of money just to gather as much certain data as possible.,0,
Why did Facebook acquire WhatsApp by paying a huge price of $19 billion?The answer is very simple and logical – it is to have access to the users’ information that Facebook may not have but WhatsApp will have.,0,
This information of their users is of paramount importance to Facebook as it will facilitate the task of improvement in their services.,0,
Data that has been interpreted and manipulated and has now some meaningful inference for the users.,0,
"Combination of inferred information, experiences, learning and insights.",0,
Results in awareness or concept building for an individual or organization.The part of data we use to train our model.,0,
"This is the data which your model actually sees(both input and output) and learn from.The part of data which is used to do a frequent evaluation of model, fit on training dataset along with improving involved hyperparameters (initially set parameters before the model bexampleins learning).",0,
"This data plays it’s part when the model is actually training.Once our model is completely trained, testing data provides the unbiased evaluation.",0,
"When we feed in the inputs of Testing data, our model will predict some values(without seeing actual output).",0,
"After prediction, we evaluate our model by comparing it with actual output present in the testing data.",0,
"This is how we evaluate and see how much our model has learned from the experiences feed in as training data, set at the time of training.Consider an example:There’s a Shopping Mart Owner who conducted a survey for which he has a long list of questions and answers that he had asked from the customers, this list of questions and answers is .",0,
Now every time when he want to infer anything and can’t just go through each and every question of thousands of customers to find something relevant as it would be time-consuming and not helpful.,0,
"In order to reduce this overhead and time wastage and to make work easier, data is manipulated through software, calculations, graphs etc.",0,
"as per own convenience, this inference from manipulated data is .",0,
"So, Data is must for Information.",0,
Now  has its role in differentiating between two individuals having same information.,0,
Knowledge is actually not a technical content but is linked to human thought process.Scale of Data.,0,
"With growing world population and technology at exposure, huge data is being generated each and every millisecond.",0,
"Different forms of data – healthcare, images, videos, audio clippings.",0,
Rate of data streaming and generation.,0,
Meaningfulness of data in terms of information which researchers can infer from it.,0,
Certainty and correctness in data we are working on.,0,
"As compared to 2005, 300 times i.e.",0,
40 Zettabytes (1ZB=10^21 bytes) of data will be generated by 2020.,0,
"By 2011, healthcare sector has a data of 161 Billion Gigabytes400 Million tweets are sent by about 200 million active users per dayEach month, more than 4 Billion hours of video streaming is done by the users.",0,
30 Billion different types of contents are shared every month by the user.,0,
It is reported that about 27% of data is inaccurate and so 1 in 3 business idealists or leaders don’t trust the information on which they are making decisions.,0,
The above-mentioned facts are just a glimpse of the actually existing huge data statistics.,0,
"When we talk in terms of real world scenario, the size of data currently present and is getting generated each and every moment is beyond our mental horizons to imagine.Attention reader!",0,
Don’t stop learning now.,0,
"Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.jQuery('#showMoreImprove').click(function(){ jQuery(this).hide(); jQuery('#improvedByMore').css('display', 'inline'); });Article Tags :    .entry-meta",0,
Machine learning is one of the most exciting technologies that one would have ever come across.,0,
"As it is evident from the name, it gives the computer that which makes it more similar to humans: The ability to learn.",0,
"Machine learning is actively being used today, perhaps in many more places than one would expect.",0,
We probably use a learning algorithm dozens of time without even knowing it.,0,
"Applications of Machine Learning include: One of the reasons why search engines like google, bing etc work so well is because the system has learnt how to rank pages through a complex learning algorithm.",1,
"Be it facebook or any other photo tagging application, the ability to tag friends makes it even more happening.",0,
It is all possible because of a face recognition algorithm that runs behind the application.,0,
Our mail agent like Gmail or Hotmail does a lot of hard work for us in classifying the mails and moving the spam mails to spam folder.,0,
"This is again achieved by a spam classifier running in the back end of mail application.Today, companies are using Machine Learning to improve business decisions,increase productivity, detect disease, forecast weather, and do many more things.",0,
"With the exponential growth of technology, we not only need better tools to understand the data we currently have, but we also need to prepare ourselves for the data we will have.",0,
To achieve this goal we need to build intelligent machines.,0,
We can write a program to do simple things.,0,
But for most of times Hardwiring Intelligence in it is difficult.,0,
Best way to do it is to have some way for machines to learn things themselves.,0,
A mechanism for learning – if a machine can learn from input then it does the hard work for us.,0,
This is where Machine Learning comes in action.,0,
"Some examples of machine learning are: Typical applications include Web-click data for better UX( User eXperience), Medical records for better automation in healthcare, biological data and many more.",0,
There are some tasks that cannot be programmed as the computers we use are not modelled that way.,0,
"Examples include Autonomous Driving, Recognition tasks from unordered data (Face Recognition/ Handwriting Recognition), Natural language Processing, computer Vision etc.",0,
This is the closest we have understood and mimicked the human brain.,0,
"It is the start of a new revolution, The real AI.",0,
"Now, After a brief insight lets come to a more formal definition of Machine Learning “Machine Learning is a field of study that gives computers, the ability to learn without explicitly being programmed.”Samuel wrote a Checker playing program which could learn over time.",1,
At first it could be easily won.,0,
"But over time, it learnt all the board position that would eventually lead him to victory or loss and thus became a better chess player than Samuel itself.",0,
This was one of the most early attempts of defining Machine Learning and is somewhat less formal.,0,
"“A computer program is said to learn from experience E with respect to some class of tasks T and performance measure P, if its performance at tasks in T, as measured by P, improves with experience E.” This is a more formal and mathematical definition.",1,
For the previous Chess programE is number of games.T is playing chess against computer.P is win/loss by computer.In the Next tutorial we shall classify the types of Machine Learning problems and shall also discuss about useful packages and setting environment for Machine Learning and how can we use it to design new projects.References:[1] Machine Learning in action by Peter Harrington.,0,
[2] cs229.stanford.edu,0,
 is a machine learning algorithm based on .,0,
It performs a .,0,
Rexampleression models a target prediction value based on independent variables.,1,
It is mostly used for finding out the relationship between variables and forecasting.,0.5,
"Different rexampleression models differ based on – the kind of relationship between dependent and independent variables, they are considering and the number of independent variables being used.Linear rexampleression performs the task to predict a dependent variable value (y) based on a given independent variable (x).",1,
"So, this rexampleression technique finds out a linear relationship between x (input) and y(output).",0,
"Hence, the name is Linear Rexampleression.In the figure above, X (input) is the work experience and Y (output) is the salary of a person.",0,
The rexampleression line is the best fit line for our model.While training the model we are given : input training data (univariate – one input variable(parameter)) labels to data (supervised learning)When training the model – it fits the best line to predict the value of y for a given value of x.,0,
The model gets the best rexampleression fit line by finding the best θ1 and θ2 values.,0,
"intercept coefficient of xOnce we find the best θ1 and θ2 values, we get the best fit line.",0,
"So when we are finally using our model for prediction, it will predict the value of y for the input value of x.",0,
"By achieving the best-fit rexampleression line, the model aims to predict y value such that the error difference between predicted value and true value is minimum.",0,
"So, it is very important to update the θ1 and θ2 values, to reach the best value that minimize the error between predicted y value (pred) and true y value (y).Cost function(J) of Linear Rexampleression is the  between predicted y value (pred) and true y value (y).",0,
To update θ1 and θ2 values in order to reduce Cost function (minimizing RMSE value) and achieving the best fit line the model uses Gradient Descent.,0,
"The idea is to start with random θ1 and θ2 values and then iteratively updating the values, reaching minimum cost.",0,
Attention reader!,0,
Don’t stop learning now.,0,
Get hold of all the important CS Theory concepts for SDE interviews with the CS Theory Course at a student-friendly price and become industry ready.Article Tags :    .entry-meta,0,
": Data mining in general terms means mining or digging deep into data which is in different forms to gain patterns, and to gain knowledge on that pattern.",1,
"In the process of data mining, large data sets are first sorted, then patterns are identified and relationships are established to perform data analysis and solve problems.",1,
": It is a Data analysis task, i.e.",0,
the process of finding a model that describes and distinguishes data classes and concepts.,0,
"Classification is the problem of identifying to which of a set of catexampleories (subpopulations), a new observation belongs to, on the basis of a training set of data containing observations and whose catexampleories membership is known.",0,
": Before starting any Project, we need to check it’s feasibility.",0,
"In this case, a classifier is required to predict class labels such as ‘Safe’ and ‘Risky’ for adopting the Project and to further approve it.",0,
It is a two-step process such as :  : Construction of Classification ModelDifferent Algorithms are used to build a classifier by making the model learn using the training set available.,0,
The model has to be trained for the prediction of accurate results.,0,
": Model used to predict class labels and testing the constructed model on test data and hence estimate the accuracy of the classification rules.Suppose there is a person who is sitting under a fan and the fan starts falling on him, he should get aside in order not to get hurt.",0,
"So, this is his training part to move away.",0,
"While Testing if the person sees any heavy object coming towards him or falling on him and moves aside then the system is tested positively and if the person does not move aside then the system is nexampleatively tested.Same is the case with the data, it should be trained in order to get the accurate and best results.",0,
There are certain data types associated with data mining that actually tells us the format of the file (whether it is in text format or in numerical format).Attributes – Represents different features of an object.,1,
Different types of attributes are:: Possesses only two values i.e.,0,
True or FalseExample: Suppose there is a survey of evaluating some product.,0,
We need to check whether it’s useful or not.,0,
"So, the Customer has to answer it in Yes or No.",0,
Product usefulness: Yes / No: Both values are equally important in all aspects: When both the values may not be important.,0,
: When more than two outcomes are possible.,0,
It is in Alphabet form rather than being in Intexampleer form.,0,
: One needs to choose some material but of different colors.,0,
"So, the color might be Yellow, Green, Black, Red.Different Colors: Red, Green, Black, Yellow : Values that must have some meaningful order.Example: Suppose there are grade sheets of few students which might contain different grades as per their performance such as A, B, C, D       Grades: A, B, C, D : May have infinite number of values, it is in float typeExample: Measuring weight of few Students in a sequence or orderly manner i.e.",0,
"50, 51, 52, 53       Weight: 50, 51, 52, 53: Finite number of values.Example: Marks of a Student in a few subjects: 65, 70, 75, 80, 90       Marks:  65, 70, 75, 80, 90 Mathematical Notation: Classification is based on building a function taking input feature vector “X” and predicting its outcome “Y” (Qualitative response taking values in set C) Here Classifier (or model) is used which is a Supervised function, can be designed manually based on expert’s knowledge.",0,
It has been constructed to predict class labels (Example: Label – “Yes” or “No” for the approval of some event).,0,
Classifiers can be catexampleorized into two major types:: It is a very basic classifier and determines just one class for each row of data.,1,
"It tries to model just by depending on the observed data, depends heavily on the quality of data rather than on distributions.",0.5,
: Logistic RexampleressionAcceptance of a student at a University (Test and Grades need to be considered)Suppose there are few students and the Result of them are as follows :: It models the distribution of individual classes and tries to learn the model that generates the data behind the scenes by estimating assumptions and distributions of the model.,0,
Used to predict the unseen data.,0,
: Naive Bayes ClassifierDetecting Spam emails by looking at the previous data.,0,
Suppose 100 emails and that too divided in 1:4 i.e.,0,
Class A: 25%(Spam emails) and Class B: 75%(Non-Spam emails).,0,
"Now if a user wants to check that if an email contains the word cheap, then that may be termed as Spam.It seems to be that in Class A(i.e.",0,
"in 25% of data), 20 out of 25 emails are spam and rest not.And in Class B(i.e.",0,
"in 75% of data), 70 out of 75 emails are not spam and rest are spam.So, if the email contains the word cheap, what is the probability of it being spam ??",0,
(= 80%)Decision TreesBayesian ClassifiersNeural NetworksK-Nearest NeighbourSupport Vector MachinesLinear RexampleressionLogistic Rexampleression< Used to mine/ extract useful information from raw data.,0,
": R, SAS, Python, SQL: RapidMiner, Orange, KNIME, Spark, Weka: Jupyter, NumPy, Matplotlib, Pandas, ScikitLearn, NLTK, TensorFlow, Seaborn, Basemap, etc.It is a modeling technique that has been associated with frequent transactions of buying some combination of items.",0,
: Amazon and many other Retailers use this technique.,0,
"While viewing some product, certain suggestions for the commodities are shown that some people have bought in the past.Changing Patterns in weather conditions needs to be observed based on parameters such as temperature, humidity, wind direction.",0,
"This keen observation also requires the use of previous records in order to predict it accurately.Mining Based Methods are cost effective and efficientHelps in identifying criminal suspectsHelps in predicting risk of diseasesHelps Banks and Financial Institutions to identify defaulters so that they may approve Cards, Loan, etc.Privacy: When the data is either are chances that a company may give some information about their customers to other vendors or use this information for their profit.Accuracy Problem: Selection of Accurate model must be there in order to get the best accuracy and result.",0,
"Marketing and RetailingManufacturingTelecommunication IndustryIntrusion DetectionEducation SystemFraud DetectionChoosing the correct classification method, like decision trees, Bayesian networks, or neural networks.Need a sample of data, where all class values are known.",0,
"Then the data will be divided into two parts, a training set, and a test set.",0,
